"ShareId","Identity","Rights","AccessControlType","Source"
"share-WINSERVER-SSEnt0129","LAB\SS-ENT-0129-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0130","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0130","LAB\SS-ENT-0130-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0131","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0131","LAB\SS-ENT-0131-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0132","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0132","LAB\SS-ENT-0132-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0133","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0133","LAB\SS-ENT-0133-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0134","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0134","LAB\SS-ENT-0134-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0135","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0135","LAB\SS-ENT-0135-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0136","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0136","LAB\SS-ENT-0136-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0137","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0137","LAB\SS-ENT-0137-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0138","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0138","LAB\SS-ENT-0138-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0139","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0139","LAB\SS-ENT-0139-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0140","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0140","LAB\SS-ENT-0140-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0141","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0141","LAB\SS-ENT-0141-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0142","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0142","LAB\SS-ENT-0142-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0143","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0143","LAB\SS-ENT-0143-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0144","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0144","LAB\SS-ENT-0144-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0145","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0145","LAB\SS-ENT-0145-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0146","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0146","LAB\SS-ENT-0146-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0147","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0147","LAB\SS-ENT-0147-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0148","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0148","LAB\SS-ENT-0148-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0149","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0149","LAB\SS-ENT-0149-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0150","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0150","LAB\SS-ENT-0150-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0151","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0151","LAB\SS-ENT-0151-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0152","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0152","LAB\SS-ENT-0152-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0153","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0153","LAB\SS-ENT-0153-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0154","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0154","LAB\SS-ENT-0154-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0155","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0155","LAB\SS-ENT-0155-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0156","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0156","LAB\SS-ENT-0156-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0157","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0157","LAB\SS-ENT-0157-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0158","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0158","LAB\SS-ENT-0158-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0159","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0159","LAB\SS-ENT-0159-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0160","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0160","LAB\SS-ENT-0160-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0161","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0161","LAB\SS-ENT-0161-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0162","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0162","LAB\SS-ENT-0162-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0163","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0163","LAB\SS-ENT-0163-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0164","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0164","LAB\SS-ENT-0164-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0165","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0165","LAB\SS-ENT-0165-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0166","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0166","LAB\SS-ENT-0166-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0167","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0167","LAB\SS-ENT-0167-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0168","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0168","LAB\SS-ENT-0168-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0169","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0169","LAB\SS-ENT-0169-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0170","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0170","LAB\SS-ENT-0170-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0171","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0171","LAB\SS-ENT-0171-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0172","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0172","LAB\SS-ENT-0172-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0173","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0173","LAB\SS-ENT-0173-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0174","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0174","LAB\SS-ENT-0174-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0175","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0175","LAB\SS-ENT-0175-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0176","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0176","LAB\SS-ENT-0176-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0177","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0177","LAB\SS-ENT-0177-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0178","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0178","LAB\SS-ENT-0178-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0179","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0179","LAB\SS-ENT-0179-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0180","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0180","LAB\SS-ENT-0180-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0181","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0181","LAB\SS-ENT-0181-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0182","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0182","LAB\SS-ENT-0182-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0183","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0183","LAB\SS-ENT-0183-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0184","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0184","LAB\SS-ENT-0184-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0185","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0185","LAB\SS-ENT-0185-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0186","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0186","LAB\SS-ENT-0186-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0187","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0187","LAB\SS-ENT-0187-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0188","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0188","LAB\SS-ENT-0188-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0189","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0189","LAB\SS-ENT-0189-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0190","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0190","LAB\SS-ENT-0190-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0191","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0191","LAB\SS-ENT-0191-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0192","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0192","LAB\SS-ENT-0192-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0193","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0193","LAB\SS-ENT-0193-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0194","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0194","LAB\SS-ENT-0194-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0195","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0195","LAB\SS-ENT-0195-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0196","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0196","LAB\SS-ENT-0196-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0197","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0197","LAB\SS-ENT-0197-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0198","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0198","LAB\SS-ENT-0198-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0199","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0199","LAB\SS-ENT-0199-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0200","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0200","LAB\SS-ENT-0200-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0201","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0201","LAB\SS-ENT-0201-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0202","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0202","LAB\SS-ENT-0202-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0203","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0203","LAB\SS-ENT-0203-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0204","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0204","LAB\SS-ENT-0204-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0205","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0205","LAB\SS-ENT-0205-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0206","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0206","LAB\SS-ENT-0206-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0207","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0207","LAB\SS-ENT-0207-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0208","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0208","LAB\SS-ENT-0208-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0209","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0209","LAB\SS-ENT-0209-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0210","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0210","LAB\SS-ENT-0210-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0211","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0211","LAB\SS-ENT-0211-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0212","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0212","LAB\SS-ENT-0212-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0213","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0213","LAB\SS-ENT-0213-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0214","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0214","LAB\SS-ENT-0214-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0215","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0215","LAB\SS-ENT-0215-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0216","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0216","LAB\SS-ENT-0216-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0217","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0217","LAB\SS-ENT-0217-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0218","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0218","LAB\SS-ENT-0218-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0219","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0219","LAB\SS-ENT-0219-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0220","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0220","LAB\SS-ENT-0220-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0221","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0221","LAB\SS-ENT-0221-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0222","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0222","LAB\SS-ENT-0222-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0223","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0223","LAB\SS-ENT-0223-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0224","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0224","LAB\SS-ENT-0224-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0225","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0225","LAB\SS-ENT-0225-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0226","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0226","LAB\SS-ENT-0226-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0227","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0227","LAB\SS-ENT-0227-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0228","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0228","LAB\SS-ENT-0228-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0229","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0229","LAB\SS-ENT-0229-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0230","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0230","LAB\SS-ENT-0230-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0231","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0231","LAB\SS-ENT-0231-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0232","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0232","LAB\SS-ENT-0232-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0233","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0233","LAB\SS-ENT-0233-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0234","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0234","LAB\SS-ENT-0234-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0235","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0235","LAB\SS-ENT-0235-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0236","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0236","LAB\SS-ENT-0236-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0237","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0237","LAB\SS-ENT-0237-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0238","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0238","LAB\SS-ENT-0238-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0239","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0239","LAB\SS-ENT-0239-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0240","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0240","LAB\SS-ENT-0240-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0241","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0241","LAB\SS-ENT-0241-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0242","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0242","LAB\SS-ENT-0242-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0243","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0243","LAB\SS-ENT-0243-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0244","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0244","LAB\SS-ENT-0244-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0245","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0245","LAB\SS-ENT-0245-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0246","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0246","LAB\SS-ENT-0246-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0247","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0247","LAB\SS-ENT-0247-Readers","Read","Allow","Get-SmbShareAccess"
